Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,source
Ricardo Pepi,627207,€16.00m,"May 28, 2025","Jan 9, 2003",22,1.85,United States,[],Centre-Forward,,PSV Eindhoven,,,"Jul 7, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Timo Schlieck,897425,€400k,"Apr 24, 2025","Mar 2, 2006",19,1.93,Germany,[],Goalkeeper,,Greuther Fürth,,,"Jul 2, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Finn Becker,334999,€2.00m,"Jun 5, 2025","Jun 8, 2000",25,1.77,Germany,[],Central Midfield,,TSG Hoffenheim,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Merveille Papela,405689,€600k,"Jun 19, 2025","Jan 18, 2001",24,1.74,Germany,[],Central Midfield,,Darmstadt 98,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jens Grahl,40034,€200k,"Jun 5, 2025","Sep 22, 1988",36,1.92,Germany,[],Goalkeeper,,E. Frankfurt,,,"Jul 19, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sebastian Rode,44466,,,"Oct 11, 1990",34,1.79,Germany,[],Central Midfield,,Retired,E. Frankfurt,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Abdoulaye Kamara,718232,€700k,"May 27, 2025","Nov 6, 2004",20,1.85,Guinea,"['France', 'Guinea']",Defensive Midfield,"                  0
0  Central Midfield",Portsmouth,,,"Aug 20, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcus Thuram,318528,€75.00m,"Jun 17, 2025","Aug 6, 1997",27,1.92,France,[],Centre-Forward,,Inter,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lucas Hernández,281963,€25.00m,"Jun 3, 2025","Feb 14, 1996",29,1.84,France,[],Left-Back,,Paris SG,,,"Jul 9, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Rocco Reitz,467434,€15.00m,"Jun 5, 2025","May 29, 2002",23,1.76,Germany,[],Central Midfield,,Bor. M'gladbach,,,"Jul 1, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dion Beljo,618350,€4.00m,"Jun 6, 2025","Mar 1, 2002",23,1.95,Croatia,[],Centre-Forward,,Dinamo Zagreb,,,"Jul 16, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Abdou Diallo,229005,€5.00m,"May 28, 2025","May 4, 1996",29,1.86,Senegal,[],Centre-Back,,Al-Arabi SC,,,"Aug 15, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonas Nickisch,665971,€175k,"Jun 23, 2025","May 21, 2004",21,1.91,Germany,[],Goalkeeper,,Saarbrücken,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Joshua Eze,606079,€150k,"Jun 23, 2025","Mar 20, 2003",22,1.83,Germany,[],Defensive Midfield,,SC Verl,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tomas Koubek,146714,€500k,"Jun 17, 2025","Aug 26, 1992",32,1.97,Czech Republic,[],Goalkeeper,,Slovan Liberec,,,"Jan 11, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Alphonso Davies,424204,€50.00m,"Jun 5, 2025","Nov 2, 2000",24,1.83,Canada,[],Left-Back,,Bayern Munich,,,"Jan 1, 2019","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kelvin Yeboah,589737,€6.00m,"Jun 5, 2025","May 6, 2000",25,1.85,Italy,[],Centre-Forward,,Minnesota,,,"Jul 27, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Joshua Zirkzee,435648,€30.00m,"May 30, 2025","May 22, 2001",24,1.93,Netherlands,[],Centre-Forward,,Man Utd,,,"Jul 14, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Anthony Caci,453016,€12.00m,"Jun 5, 2025","Jul 1, 1997",28,1.84,France,[],Right-Back,,1.FSV Mainz 05,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nacho Ferri,867357,€2.20m,"Jun 12, 2025","Oct 5, 2004",20,1.92,Spain,['Spain'],Centre-Forward,,KVC Westerlo,,,"Jul 8, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tom Bischof,822959,€30.00m,"Jun 5, 2025","Jun 28, 2005",20,1.76,Germany,[],Central Midfield,,Bayern Munich,,,"Jun 9, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Josip Brekalo,293169,€3.30m,"Jun 18, 2025","Jun 23, 1998",27,1.75,Croatia,[],Left Winger,,Fiorentina,,,"Jan 28, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Luca Netz,524285,€6.00m,"Jun 5, 2025","May 15, 2003",22,1.84,Germany,[],Left-Back,,Bor. M'gladbach,,,"Aug 6, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Amine Adli,532776,€18.00m,"Jun 5, 2025","May 10, 2000",25,1.8,Morocco,"['France', 'Morocco']",Left Winger,"                0
0    Right Winger
1  Second Striker",B. Leverkusen,,,"Aug 26, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Abdoulaye Kamara,718232,€700k,"May 27, 2025","Nov 6, 2004",20,1.85,Guinea,[],Defensive Midfield,,Portsmouth,,,"Aug 20, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mats Hummels,39728,,,"Dec 16, 1988",36,1.91,Germany,[],Centre-Back,,Retired,AS Roma,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sardar Azmoun,180337,€8.00m,"May 29, 2025","Jan 1, 1995",30,1.86,Iran,[],Centre-Forward,,Shabab Al-Ahli,,,"Jul 28, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jannik Horz,586229,€100k,"Jun 11, 2025","Apr 14, 2003",22,1.93,Germany,[],Goalkeeper,,K. Offenbach,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Micky van de Ven,557459,€50.00m,"May 30, 2025","Apr 19, 2001",24,1.93,Netherlands,[],Centre-Back,,Tottenham,,,"Aug 8, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mario Götze,74842,€4.00m,"Jun 5, 2025","Jun 3, 1992",33,1.76,Germany,[],Attacking Midfield,,E. Frankfurt,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nadiem Amiri,232454,€20.00m,"Jun 5, 2025","Oct 27, 1996",28,1.8,Germany,[],Central Midfield,,1.FSV Mainz 05,,,"Jan 31, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Patrik Schick,242086,€27.00m,"Jun 5, 2025","Jan 24, 1996",29,1.91,Czech Republic,[],Centre-Forward,,B. Leverkusen,,,"Sep 8, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kaito Mizuta,677794,€275k,"Jun 11, 2025","Apr 8, 2000",25,1.82,Japan,[],Left Winger,,RW Essen,,,"Jan 29, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Anthony Modeste,50512,€100k,"Jun 25, 2025","Apr 14, 1988",37,1.88,France,[],Centre-Forward,,Without Club,CF Intercity,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcel Lotka,453737,€800k,"Jun 11, 2025","May 25, 2001",24,1.9,Germany,[],Goalkeeper,,F. Düsseldorf,,,"Jul 9, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aarón Martín,251878,€6.50m,"Jun 17, 2025","Apr 22, 1997",28,1.78,Spain,[],Left-Back,,Genoa,,,"Jul 3, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Angelo Fulgini,250013,€5.00m,"Jun 3, 2025","Aug 20, 1996",28,1.82,France,[],Attacking Midfield,,Lens,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Emre Can,119296,€7.00m,"Jun 5, 2025","Jan 12, 1994",31,1.86,Germany,[],Defensive Midfield,,Bor. Dortmund,,,"Jul 1, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jan Schröder,610798,,,"Apr 15, 2003",22,1.82,Germany,[],Left-Back,,Delaware,,,"Jul 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Benjamin Pavard,353366,€25.00m,"Jun 17, 2025","Mar 28, 1996",29,1.86,France,['France'],Centre-Back,"            0
0  Right-Back",Inter,,,"Aug 30, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maximilian Arnold,117674,€5.00m,"Jun 5, 2025","May 27, 1994",31,1.84,Germany,[],Central Midfield,,VfL Wolfsburg,,,"Jan 1, 2012","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julian Baumgartlinger,34787,,,"Jan 2, 1988",37,1.84,Austria,['Austria'],Defensive Midfield,"                  0
0  Central Midfield",Retired,FC Augsburg,"Jul 24, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julian Baumgartlinger,34787,,,"Jan 2, 1988",37,1.84,Austria,[],Defensive Midfield,,Retired,FC Augsburg,"Jul 24, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
David Raum,318204,€20.00m,"Jun 5, 2025","Apr 22, 1998",27,1.81,Germany,[],Left-Back,,RB Leipzig,,,"Jul 31, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jamie Gittens,670882,€50.00m,"Jun 5, 2025","Aug 8, 2004",20,1.78,England,[],Left Winger,,Chelsea,,,"Jul 5, 2025","Jun 30, 2032",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Philipp Max,111275,€1.00m,"May 23, 2025","Sep 30, 1993",31,1.77,Germany,['Germany'],Left-Back,"               0
0  Left Midfield",Panathinaikos,,,"Aug 5, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Edimilson Fernandes,247555,€3.00m,"Jun 3, 2025","Apr 15, 1996",29,1.87,Switzerland,[],Defensive Midfield,,BSC Young Boys,,,"Jul 14, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dion Beljo,618350,€4.00m,"Jun 6, 2025","Mar 1, 2002",23,1.95,Croatia,['Croatia'],Centre-Forward,,Dinamo Zagreb,,,"Jul 16, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Irvin Cardona,342226,€2.50m,"Jun 3, 2025","Aug 8, 1997",27,1.85,France,"['Malta', 'France']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Saint-Étienne,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Danny da Costa,85906,€1.50m,"Jun 5, 2025","Jul 13, 1993",32,1.87,Germany,[],Centre-Back,,1.FSV Mainz 05,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Iago,520468,€3.50m,"Jun 6, 2025","Mar 23, 1997",28,1.81,Brazil,[],Left-Back,,EC Bahia,,,"Jul 10, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ko Itakura,355816,€12.00m,"Jun 5, 2025","Jan 27, 1997",28,1.88,Japan,[],Centre-Back,,Bor. M'gladbach,,,"Jul 2, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kelvin Yeboah,589737,€6.00m,"Jun 5, 2025","May 6, 2000",25,1.85,Italy,"['Italy', 'Ghana']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Minnesota,,,"Jul 27, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Max Kruse,36182,,,"Mar 19, 1988",37,1.8,Germany,[],Second Striker,,BSV Dersim II,,,"Apr 19, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kevin Trapp,45672,€2.50m,"Jun 5, 2025","Jul 8, 1990",35,1.89,Germany,[],Goalkeeper,,E. Frankfurt,,,"Aug 7, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Christoph Kramer,82097,,,"Feb 19, 1991",34,1.91,Germany,[],Defensive Midfield,,Retired,Bor. M'gladbach,"Jun 2, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Irvin Cardona,342226,€2.50m,"Jun 3, 2025","Aug 8, 1997",27,1.85,France,[],Centre-Forward,,Saint-Étienne,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nico Schlotterbeck,388198,€40.00m,"Jun 5, 2025","Dec 1, 1999",25,1.91,Germany,[],Centre-Back,,Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tobias Strobl,57845,,,"May 12, 1990",35,1.88,Germany,[],Defensive Midfield,,Retired,FC Augsburg,"Jul 1, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Paxten Aaronson,795738,€8.00m,"May 28, 2025","Aug 26, 2003",21,1.75,United States,[],Central Midfield,,E. Frankfurt,,,"Jan 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Exequiel Palacios,401578,€40.00m,"Jun 5, 2025","Oct 5, 1998",26,1.78,Argentina,[],Central Midfield,,B. Leverkusen,,,"Jan 1, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Renato Veiga,805714,€25.00m,"Jun 17, 2025","Jul 29, 2003",22,1.9,Portugal,[],Centre-Back,,Chelsea,,,"Jul 12, 2024","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Willi Orbán,93740,€8.00m,"Jun 5, 2025","Nov 3, 1992",32,1.86,Hungary,[],Centre-Back,,RB Leipzig,,,"Jul 1, 2015","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Josué Mbila,381252,,,"Aug 21, 1999",25,1.75,Germany,[],Attacking Midfield,,Without Club,SpVgg Bayreuth,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Faride Alidou,456492,€1.00m,"Jun 19, 2025","Jul 18, 2001",24,1.86,Germany,[],Left Winger,,1.FC K'lautern,,,"Jan 23, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lukas Klostermann,215599,€8.00m,"Jun 5, 2025","Jun 3, 1996",29,1.89,Germany,[],Centre-Back,,RB Leipzig,,,"Aug 22, 2014","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nahuel Noll,600942,€1.80m,"Jun 19, 2025","Mar 17, 2003",22,1.9,Germany,[],Goalkeeper,,Hannover 96,,,"Jul 9, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Josuha Guilavogui,93704,€300k,"May 27, 2025","Sep 19, 1990",34,1.88,France,[],Defensive Midfield,,Without Club,Leeds,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Gabriel Marusic,604322,€125k,"Jun 24, 2025","Mar 3, 2003",22,1.86,Croatia,[],Centre-Back,,A. Salzburg,,,"Jul 29, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Philipp Pentke,8246,€200k,"Jun 19, 2025","May 1, 1985",40,1.91,Germany,[],Goalkeeper,,Without Club,1.FC Köln,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dani Olmo,293385,€60.00m,"Jun 9, 2025","May 7, 1998",27,1.79,Spain,['Spain'],Attacking Midfield,"                0
0     Left Winger
1  Second Striker",Barcelona,,,"Aug 9, 2024","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aster Vranckx,503881,€7.00m,"Jun 5, 2025","Oct 4, 2002",22,1.83,Belgium,[],Central Midfield,,VfL Wolfsburg,,,"Jul 1, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mathys Tel,801734,€35.00m,"May 30, 2025","Apr 27, 2005",20,1.83,France,[],Centre-Forward,,Tottenham,,,"Jul 1, 2025","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Carlos Gruezo,189475,€1.50m,"Jun 16, 2025","Apr 19, 1995",30,1.72,Ecuador,[],Defensive Midfield,,LDU Quito,,,"Jan 25, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcel Halstenberg,70243,,,"Sep 27, 1991",33,1.88,Germany,['Germany'],Centre-Back,"               0
0      Left-Back
1  Left Midfield",Germ. Grasdorf,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kerem Demirbay,125858,€2.30m,"Jun 18, 2025","Jul 3, 1993",32,1.83,Germany,[],Central Midfield,,Eyüpspor,,,"Jul 2, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Fredrik Jensen,249157,€3.50m,"Jun 5, 2025","Sep 9, 1997",27,1.83,Finland,[],Attacking Midfield,,Aris Saloniki,,,"Jul 11, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Pavel Kaderabek,143798,€1.70m,"Jun 5, 2025","Apr 25, 1992",33,1.82,Czech Republic,[],Right-Back,,Sparta Prague,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mateu Morey,388513,€800k,"Jun 9, 2025","Mar 2, 2000",25,1.73,Spain,[],Right-Back,,RCD Mallorca,,,"Jul 5, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dani Olmo,293385,€60.00m,"Jun 9, 2025","May 7, 1998",27,1.79,Spain,[],Attacking Midfield,,Barcelona,,,"Aug 9, 2024","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Philipp Schulz,796212,€200k,"Jun 11, 2025","May 25, 2005",20,1.9,Germany,[],Centre-Back,,FSV Mainz 05 II,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sadio Mané,200512,€8.00m,"May 27, 2025","Apr 10, 1992",33,1.74,Senegal,[],Left Winger,,Al-Nassr,,,"Aug 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Liam Morrison,567114,€400k,"May 27, 2025","Apr 7, 2003",22,1.83,Scotland,[],Centre-Back,,QPR,,,"Jul 5, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Benjamin Henrichs,202591,€15.00m,"Jun 5, 2025","Feb 23, 1997",28,1.85,Germany,[],Right-Back,,RB Leipzig,,,"Jul 1, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Alexander Sørloth,238407,€25.00m,"Jun 9, 2025","Dec 5, 1995",29,1.95,Norway,[],Centre-Forward,,Atlético Madrid,,,"Aug 3, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mads Pedersen,288429,€2.00m,"Jun 5, 2025","Sep 1, 1996",28,1.78,Denmark,[],Left-Back,,FC Augsburg,,,"Jul 1, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Oskar Preil,710045,,,"Sep 14, 2003",21,1.89,Germany,[],Goalkeeper,,ASV Neumarkt,,,"Jul 23, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Bartosz Bialek,535551,€800k,"Jun 5, 2025","Nov 11, 2001",23,1.91,Poland,[],Centre-Forward,,Darmstadt 98,,,"Jul 15, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ihlas Bebou,237164,€1.00m,"Jun 5, 2025","Apr 23, 1994",31,1.85,Togo,[],Centre-Forward,,TSG Hoffenheim,,,"Jul 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Diadié Samassékou,315604,€1.00m,"Jun 5, 2025","Jan 11, 1996",29,1.77,Mali,['Mali'],Defensive Midfield,"                  0
0  Central Midfield",Without Club,TSG Hoffenheim,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Joel Pohjanpalo,173491,€4.50m,"Jun 2, 2025","Sep 13, 1994",30,1.86,Finland,[],Centre-Forward,,Palermo,,,"Feb 3, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sanoussy Ba,717346,€400k,"Jun 19, 2025","Jan 5, 2004",21,1.84,Germany,[],Right-Back,,E. Braunschweig,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Junior Dina Ebimbe,536482,€6.00m,"Jun 5, 2025","Nov 21, 2000",24,1.84,France,"['Cameroon', 'France']",Right Midfield,"                  0
0  Central Midfield
1     Left Midfield",E. Frankfurt,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Semir Telalovic,583767,€1.50m,"Jun 19, 2025","Dec 23, 1999",25,1.87,Germany,"['Germany', 'Bosnia-Herzegovina']",Centre-Forward,,1.FC Nuremberg,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mahmoud Dahoud,191422,€3.50m,"Jun 5, 2025","Jan 1, 1996",29,1.78,Syria,"['Germany', 'Syria']",Central Midfield,"                    0
0  Defensive Midfield",E. Frankfurt,,,"Aug 30, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
André Silva,198008,€4.00m,"Jun 5, 2025","Nov 6, 1995",29,1.86,Portugal,[],Centre-Forward,,RB Leipzig,,,"Jul 2, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Niklas Süle,166601,€8.00m,"Jun 5, 2025","Sep 3, 1995",29,1.95,Germany,[],Centre-Back,,Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marco Reus,35207,€2.00m,"Jun 5, 2025","May 31, 1989",36,1.8,Germany,[],Attacking Midfield,,LA Galaxy,,,"Aug 14, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ko Itakura,355816,€12.00m,"Jun 5, 2025","Jan 27, 1997",28,1.88,Japan,['Japan'],Centre-Back,"                    0
0  Defensive Midfield",Bor. M'gladbach,,,"Jul 2, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
