name,Age,Citizenship,Contract expiration,DOB,Height (m),ID,Joined,Last club,Market value history,Nationality,Other positions,Position,Since,Team,Transfer history,Value,Value last updated,assists,games,goals,id,key_passes,npg,npxG,position,red_cards,shots,source,team,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
Julien Duranville,19,[],-,"May 5, 2006",1.73,819215,"Jan 27, 2023",,,Belgium,,Left Winger,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€8.50m,"Jun 5, 2025",0,1,0,11585,2,0,0.020404910668730736,S,0,1,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,25,0.10653351992368698,0.020404910668730736,0,0.12693843245506287,0
Robert Skov,29,[],-,"May 20, 1996",1.85,270393,"Sep 4, 2024",,,Denmark,,Left Midfield,,Union Berlin,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",2,23,3,7867,19,1,1.7382657416164875,D M S,0,41,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,1368,2.0624763034284115,3.2538157887756824,2.4559556022286415,4.800878558307886,1
Patrick Herrmann,34,[],,"Feb 12, 1991",1.79,32711,,Bor. M'gladbach,,Germany,,Right Winger,"Jul 1, 2024",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,21,1,420,4,1,0.2661339044570923,S,0,6,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,125,0.4147176072001457,0.2661339044570923,1.0635679811239243,1.5661383867263794,2
Antonios Papadopoulos,25,[],"Jun 30, 2027","Sep 10, 1999",1.86,482573,"Jul 1, 2024",,,Greece,,Centre-Back,,FC Lugano,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 10, 2025",0,1,0,9750,0,0,0.011480499990284443,S,0,1,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,11,0,0.011480499990284443,0,0,0
Felix Uduokhai,27,[],"Jun 30, 2027","Sep 9, 1997",1.93,278343,"Jul 1, 2025",,,Germany,,Centre-Back,,Besiktas,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"Jun 18, 2025",1,19,0,6100,3,0,0.2810891196131706,D S,1,4,understat,https://understat.com/team/Augsburg/2022,Augsburg,1449,0.23178673535585403,0.2810891196131706,1.5346208326518536,1.6158726327121258,3
Junior Dina Ebimbe,24,"['Cameroon', 'France']","Jun 30, 2027","Nov 21, 2000",1.84,536482,"Jul 1, 2023",,,France,"                  0
0  Central Midfield
1     Left Midfield",Right Midfield,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Luca Unbehaun,24,[],"Jun 30, 2026","Feb 27, 2001",1.87,388815,"Jul 1, 2024",,,Germany,,Goalkeeper,,FC Emmen,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€350k,"Jun 9, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Nathan Ngoumou,25,[],"Jun 30, 2027","Mar 14, 2000",1.85,629588,"Aug 30, 2022",,,Cameroon,,Right Winger,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Mahmoud Dahoud,29,"['Germany', 'Syria']","Jun 30, 2026","Jan 1, 1996",1.78,191422,"Aug 30, 2024",,,Syria,"                    0
0  Defensive Midfield",Central Midfield,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",0,9,0,205,4,0,0.24552150070667267,M S,0,6,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,328,0.38032230734825134,0.24552150070667267,1.947038745507598,2.4283393565565348,1
Noussair Mazraoui,27,[],"Jun 30, 2028","Nov 14, 1997",1.83,340456,"Aug 13, 2024",,,Morocco,,Right-Back,,Man Utd,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"May 30, 2025",4,19,1,10696,19,1,0.8621763680130243,D S,0,8,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,1073,3.82255975715816,0.8621763680130243,9.97263415157795,13.49953356012702,0
Melayro Bogarde,23,[],"May 31, 2028","May 28, 2002",1.86,476915,"Jul 1, 2024",,,Netherlands,,Centre-Back,,LASK,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€800k,"Jun 6, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Donyell Malen,26,[],-,"Jan 19, 1999",1.76,326029,"Jan 14, 2025",,,Netherlands,,Right Winger,,Aston Villa,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"May 30, 2025",6,26,9,9749,29,9,10.436273377388716,F M S,0,62,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,1754,5.750813579186797,10.436273377388716,5.9087957832962275,19.17952760308981,0
Luca Waldschmidt,29,[],"Jun 30, 2027","May 19, 1996",1.81,196095,"Jul 1, 2024",,,Germany,,Centre-Forward,,1.FC Köln,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 19, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Hrvoje Smolcic,24,['Croatia'],"Jun 30, 2027","Aug 17, 2000",1.85,571299,"Jul 1, 2022",,,Croatia,"           0
0  Left-Back",Centre-Back,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 6, 2025",0,9,0,10861,0,0,0.2030751034617424,D S,0,3,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,459,0,0.2030751034617424,2.5725164338946342,2.5725164338946342,0
Bouna Sarr,33,[],,"Jan 31, 1992",1.78,190685,,Bayern Munich,,Senegal,,Right-Back,"Jul 1, 2024",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€700k,"Apr 4, 2025",0,1,0,3393,0,0,0,S,0,0,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,1,0,0,0,0,0
Karim Onisiwo,33,[],"Jun 30, 2026","Mar 17, 1992",1.88,119234,"Jan 2, 2025",,,Austria,,Centre-Forward,,RB Salzburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€800k,"Jun 6, 2025",2,31,10,2631,33,10,7.937801500782371,F M S,0,67,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,2559,4.462550288066268,7.937801500782371,3.004184128716588,13.139806311577559,4
Marius Wolf,30,[],"Jun 30, 2027","May 27, 1995",1.88,193900,"Aug 8, 2024",,,Germany,,Right-Back,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.00m,"Jun 5, 2025",1,25,1,2693,22,1,1.0406534112989902,D M S,0,23,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,1565,3.3516891915351152,1.0406534112989902,6.8867241479456425,9.93736912496388,2
Kevin Vogt,33,[],"Jun 30, 2027","Sep 23, 1991",1.94,84435,"Jul 7, 2025",,,Germany,,Centre-Back,,VfL Bochum,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.00m,"Jun 5, 2025",0,22,0,133,4,0,0,D,0,0,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,1792,0.5047658076509833,0,4.5686035715043545,5.06412497907877,8
Dayot Upamecano,26,"['Guinea-Bissau', 'France']","Jun 30, 2026","Oct 27, 1998",1.86,344695,"Jul 5, 2021",,,France,,Centre-Back,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€50.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Jakub Kaminski,23,[],"Jun 30, 2026","Jun 5, 2002",1.79,407098,"Jul 4, 2025",,,Poland,,Left Winger,,1.FC Köln,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"Jun 5, 2025",2,31,4,10732,28,4,5.838947834447026,D F M S,0,39,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,2102,3.693452760577202,5.838947834447026,7.755885322578251,15.356808818876743,0
Kevin Akpoguma,30,[],"Jun 30, 2026","Apr 19, 1995",1.92,160241,"Jul 1, 2013",,,Nigeria,,Centre-Back,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.50m,"Jun 5, 2025",0,28,0,6327,5,0,0.41434898041188717,D S,0,8,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,1966,0.6481539979577065,0.41434898041188717,3.155833002179861,3.9068340938538313,11
Abdou Diallo,29,[],"Jun 30, 2026","May 4, 1996",1.86,229005,"Aug 15, 2023",,,Senegal,,Centre-Back,,Al-Arabi SC,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"May 28, 2025",0,8,0,4804,1,0,0.17099950462579727,D M S,0,4,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,472,0.07003770023584366,0.17099950462579727,1.2084340155124664,1.2784720361232758,2
Omar Marmoush,26,"['Egypt', 'Canada']","Jun 30, 2029","Feb 7, 1999",1.83,445939,"Jan 23, 2025",,,Egypt,"                0
0     Left Winger
1  Second Striker",Centre-Forward,,Man City,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€75.00m,"May 30, 2025",1,33,5,8393,10,5,5.402720060199499,F M S,0,48,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,1463,1.2215128345414996,5.402720060199499,2.495272032916546,8.300030453130603,2
Hugo Novoa,22,['Spain'],"Jun 30, 2029","Jan 24, 2003",1.82,668276,"Jul 22, 2024",,,Spain,"                0
0    Right Winger
1  Centre-Forward",Right-Back,,Alavés,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 9, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Hannes Wolf,26,['Austria'],"Dec 31, 2027","Apr 16, 1999",1.79,321070,"Jan 31, 2024",,,Austria,"                    0
0         Left Winger
1  Attacking Midfield",Right Winger,,New York City,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",1,18,1,8171,6,1,1.4649172388017178,M S,0,8,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,425,0.3275195760652423,1.4649172388017178,0.853125381283462,2.5546592846512794,0
Niklas Süle,29,[],"Jun 30, 2026","Sep 3, 1995",1.95,166601,"Jul 1, 2022",,,Germany,,Centre-Back,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€8.00m,"Jun 5, 2025",3,29,2,75,17,2,2.632200049236417,D S,0,34,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,2114,2.3738548597320914,2.632200049236417,12.636048391461372,14.629823207855225,2
Marvin Friedrich,29,[],"Jun 30, 2026","Dec 13, 1995",1.93,196231,"Jan 11, 2022",,,Germany,,Centre-Back,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",0,23,1,370,5,1,0.8531193770468235,D S,0,9,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,1234,0.3776967730373144,0.8531193770468235,5.171820469200611,5.258757753297687,2
Lukas Ambros,21,[],"Jun 30, 2027","Jun 5, 2004",1.82,671548,"Jul 1, 2024",,,Czech Republic,,Attacking Midfield,,Górnik Zabrze,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€550k,"Jun 6, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Fisnik Asllani,22,[],"Jun 30, 2029","Aug 8, 2002",1.91,524290,"Jan 4, 2022",,,Kosovo,,Centre-Forward,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€8.00m,"Jun 19, 2025",0,8,0,10113,3,0,1.5902240723371506,S,0,9,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,138,0.14016930013895035,1.5902240723371506,0.31213559210300446,0.7949380166828632,0
Muhammed Damar,21,[],"Jun 30, 2029","Apr 9, 2004",1.85,789898,"Jul 1, 2022",,,Germany,,Attacking Midfield,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"Jun 19, 2025",0,6,0,10730,3,0,0.04317310079932213,M S,0,1,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,146,0.14528260007500648,0.04317310079932213,1.2740841954946518,1.394998699426651,0
Alexander Meyer,34,[],"Jun 30, 2026","Apr 13, 1991",1.95,76158,"Jul 1, 2022",,,Germany,,Goalkeeper,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€800k,"Jun 5, 2025",0,7,0,6290,0,0,0,GK,0,0,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,630,0,0,1.3360484018921852,1.3360484018921852,0
Simon Simoni,21,[],"Jun 30, 2026","Jul 14, 2004",1.95,726120,"Jan 15, 2025",,,Albania,,Goalkeeper,,1.FC K'lautern,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€600k,"Jun 19, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Eric-Maxim Choupo-Moting,36,"['Germany', 'Cameroon']","Dec 31, 2026","Mar 23, 1989",1.91,45660,"Jan 1, 2025",,,Cameroon,"                0
0     Left Winger
1  Second Striker",Centre-Forward,,New York,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Jeremie Frimpong,24,[],"Jun 30, 2030","Dec 10, 2000",1.72,484547,"Jul 1, 2025",,,Netherlands,,Right-Back,,Liverpool,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€50.00m,"Jun 5, 2025",7,34,8,9328,45,8,8.343600986525416,D M S,0,38,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,2727,5.546072905883193,8.343600986525416,6.1089749513193965,18.800267400220037,4
Lasse Rieß,24,[],"Jun 30, 2027","Jul 27, 2001",1.92,490609,"Jul 1, 2021",,,Germany,,Goalkeeper,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€400k,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Luca Philipp,24,[],"Jun 30, 2026","Nov 28, 2000",1.92,432671,"Jul 31, 2020",,,Germany,,Goalkeeper,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€750k,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Mattias Svanberg,26,[],"Jun 30, 2027","Jan 5, 1999",1.85,342405,"Jul 16, 2022",,,Sweden,,Central Midfield,,VfL Wolfsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€12.00m,"Jun 5, 2025",6,32,4,6974,27,4,4.005698628723621,F M S,0,31,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,1844,4.8201605677604675,4.005698628723621,4.915807843208313,9.86233900859952,4
Brajan Gruda,21,[],"Jun 30, 2028","May 31, 2004",1.78,700106,"Aug 14, 2024",,,Germany,,Right Winger,,Brighton,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"May 30, 2025",0,2,0,11310,0,0,0,S,0,0,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,2,0,0,0.022376200184226036,0.022376200184226036,0
Florian Niederlechner,34,[],"Jun 30, 2027","Oct 24, 1990",1.87,152963,"Jul 1, 2025",,,Germany,,Centre-Forward,,1860 Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€400k,"Jun 19, 2025",0,16,1,306,4,1,2.4619248006492853,F S,0,20,understat,https://understat.com/team/Hertha_Berlin/2022,Hertha Berlin,808,0.2061348855495453,2.4619248006492853,0.6689379438757896,2.484064156189561,2
Caden Clark,22,[],"Dec 31, 2025","May 27, 2003",1.8,742297,"Aug 8, 2024",,,United States,,Attacking Midfield,,Montréal,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.80m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Niklas Klinger,29,[],,"Oct 13, 1995",1.87,192268,,VfL Wolfsburg,,Germany,,Goalkeeper,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€100k,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Moussa Diaby,26,[],"Jun 30, 2029","Jul 7, 1999",1.7,395516,"Jul 24, 2024",,,France,,Right Winger,,Al-Ittihad,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€30.00m,"May 27, 2025",8,33,9,6556,58,9,9.476291004568338,F M,0,80,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,2736,8.54252471961081,10.234066966921091,4.606570445932448,20.56936350464821,4
Soumaïla Coulibaly,21,[],"Jun 30, 2029","Oct 14, 2003",1.91,659513,"Jul 7, 2025",,,France,,Centre-Back,,R. Strasbourg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€8.00m,"Jun 3, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Diadié Samassékou,29,['Mali'],,"Jan 11, 1996",1.77,315604,,TSG Hoffenheim,,Mali,"                  0
0  Central Midfield",Defensive Midfield,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Luca Pellegrini,26,[],"Jun 30, 2027","Mar 7, 1999",1.78,346567,"Jul 1, 2025",,,Italy,,Left-Back,,Lazio,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.00m,"Jun 17, 2025",0,9,0,4970,9,0,0.5536708999425173,D S,0,14,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,561,0.7803259948268533,0.5536708999425173,0.4801012109965086,0.9495817134156823,1
Conor Noß,24,[],"Jun 30, 2027","Jan 1, 2001",1.82,520857,"Jul 1, 2025",,,Ireland,,Left Winger,,MSV Duisburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€350k,"Jun 6, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Frederik Winther,24,[],"Dec 31, 2027","Jan 4, 2001",1.9,569349,"Mar 27, 2024",,,Denmark,,Centre-Back,,Hammarby,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€700k,"Jun 18, 2025",1,1,0,9723,1,0,0,D,0,0,understat,https://understat.com/team/Augsburg/2022,Augsburg,90,0.043960899114608765,0,0.09787070006132126,0.09787070006132126,0
Rafal Gikiewicz,37,[],"Jun 30, 2026","Oct 26, 1987",1.9,78339,"Feb 13, 2024",,,Poland,,Goalkeeper,,Widzew Lodz,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€250k,"Jun 6, 2025",0,23,0,5293,0,0,0,GK,0,0,understat,https://understat.com/team/Augsburg/2022,Augsburg,2070,0,0,0.8435589075088501,0.8435589075088501,3
Aurélio Buta,28,"['Angola', 'Portugal']","Jun 30, 2026","Feb 10, 1997",1.72,258039,"Jul 1, 2022",,,Portugal,"                0
0  Right Midfield",Right-Back,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"Jun 3, 2025",2,18,3,11311,18,3,0.7913053203374147,D S,0,9,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,1339,3.1968461498618126,0.7913053203374147,3.201746217906475,6.491749152541161,3
Alexander Hack,31,['Germany'],"Dec 31, 2026","Sep 8, 1993",1.93,126281,"Jan 31, 2025",,,Germany,,Centre-Back,,New York,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.00m,"Jun 5, 2025",0,19,0,52,4,0,0.6021239012479782,D S,1,4,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,1125,0.1241120994091034,0.6021239012479782,2.872820219025016,2.979021204635501,2
Amine Adli,25,"['France', 'Morocco']","Jun 30, 2028","May 10, 2000",1.8,532776,"Aug 26, 2021",,,Morocco,"                0
0    Right Winger
1  Second Striker",Left Winger,,B. Leverkusen,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€18.00m,"Jun 5, 2025",3,26,5,8211,20,5,5.577013881877065,F M S,2,37,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,1446,1.5646598255261779,5.577013881877065,4.138404821977019,9.384396608918905,2
Simon Walde,20,[],"Jun 30, 2026","Jan 4, 2005",1.85,912455,"Jul 1, 2024",,,Germany,,Right-Back,,M'gladbach II,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€300k,"Jun 23, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Kasper Dolberg,27,[],"Jun 30, 2027","Oct 6, 1997",1.87,283196,"Jul 7, 2023",,,Denmark,,Centre-Forward,,RSC Anderlecht,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€13.00m,"Jun 12, 2025",0,13,1,8025,4,1,0.33276271633803844,F S,0,6,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,380,0.6243885392323136,0.33276271633803844,0.30920279771089554,1.2663547359406948,0
Ricardo Pepi,22,[],"Jun 30, 2030","Jan 9, 2003",1.85,627207,"Jul 7, 2023",,,United States,,Centre-Forward,,PSV Eindhoven,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€16.00m,"May 28, 2025",0,4,0,10253,2,0,0.059269800782203674,F S,0,1,understat,https://understat.com/team/Augsburg/2022,Augsburg,92,0.033113899640738964,0.059269800782203674,0.1071769967675209,0.18476079404354095,0
Timo Schlieck,19,[],"Jun 30, 2026","Mar 2, 2006",1.93,897425,"Jul 2, 2025",,,Germany,,Goalkeeper,,Greuther Fürth,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€400k,"Apr 24, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Finn Becker,25,[],"Jun 30, 2026","Jun 8, 2000",1.77,334999,"Jul 1, 2022",,,Germany,,Central Midfield,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 5, 2025",0,13,0,10731,4,0,0.3409315627068281,D M S,0,6,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,505,0.29796668887138367,0.3409315627068281,1.9029208049178123,2.4122296646237373,0
Merveille Papela,24,[],-,"Jan 18, 2001",1.74,405689,"Jul 1, 2024",,,Germany,,Central Midfield,,Darmstadt 98,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€600k,"Jun 19, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Jens Grahl,36,[],"Jun 30, 2026","Sep 22, 1988",1.92,40034,"Jul 19, 2021",,,Germany,,Goalkeeper,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€200k,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Sebastian Rode,34,[],,"Oct 11, 1990",1.79,44466,,E. Frankfurt,,Germany,,Central Midfield,"Jul 1, 2024",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,1,27,4,228,12,4,0.7823091875761747,M S,0,9,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,1440,0.7808642480522394,0.7823091875761747,6.188614975661039,7.431947812438011,6
Abdoulaye Kamara,20,[],"Jun 30, 2028","Nov 6, 2004",1.85,718232,"Aug 20, 2024",,,Guinea,,Defensive Midfield,,Portsmouth,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€700k,"May 27, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Marcus Thuram,27,[],"Jun 30, 2028","Aug 6, 1997",1.92,318528,"Jul 1, 2023",,,France,,Centre-Forward,,Inter,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€75.00m,"Jun 17, 2025",6,30,13,5992,29,13,16.923396602272987,F S,0,91,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,2524,3.983339882455766,16.923396602272987,4.194450257346034,22.03937479108572,3
Lucas Hernández,29,[],"Jun 30, 2028","Feb 14, 1996",1.84,281963,"Jul 9, 2023",,,France,,Left-Back,,Paris SG,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"Jun 3, 2025",0,7,0,2276,1,0,0,D S,0,0,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,484,0.10382699966430664,0,2.4258759170770645,2.4258759170770645,1
Rocco Reitz,23,['Germany'],"Jun 30, 2028","May 29, 2002",1.76,467434,"Jul 1, 2020",,,Germany,"                    0
0  Attacking Midfield
1  Defensive Midfield",Central Midfield,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€15.00m,"Jun 5, 2025",0,1,0,8826,0,0,0,S,0,0,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,2,0,0,0,0,0
Dion Beljo,23,['Croatia'],"Jun 30, 2030","Mar 1, 2002",1.95,618350,"Jul 16, 2025",,,Croatia,,Centre-Forward,,Dinamo Zagreb,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 6, 2025",2,18,3,11324,14,3,1.4669535979628563,F M S,0,12,understat,https://understat.com/team/Augsburg/2022,Augsburg,1164,2.154107490554452,1.4669535979628563,0.8704428151249886,4.491503283381462,2
Jonas Nickisch,21,[],-,"May 21, 2004",1.91,665971,"Jul 1, 2025",,,Germany,,Goalkeeper,,Saarbrücken,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€175k,"Jun 23, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Joshua Eze,22,[],"Jun 30, 2027","Mar 20, 2003",1.83,606079,"Jul 1, 2025",,,Germany,,Defensive Midfield,,SC Verl,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€150k,"Jun 23, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
